Cumulative number of confirmed probable and suspected Ebola cases,Senegal,20150227,1.0
Cumulative number of confirmed Ebola cases,Spain,20150227,1.0
Cumulative number of probable Ebola cases,Spain,20150227,0.0
Cumulative number of suspected Ebola cases,Spain,20150227,0.0
Cumulative number of confirmed probable and suspected Ebola cases,Spain,20150227,1.0
Cumulative number of confirmed Ebola cases,United States of America,20150227,4.0
Cumulative number of probable Ebola cases,United States of America,20150227,0.0
Cumulative number of suspected Ebola cases,United States of America,20150227,0.0
Cumulative number of confirmed probable and suspected Ebola cases,United States of America,20150227,4.0
Cumulative number of confirmed Ebola deaths,Nigeria,20150227,7.0
Cumulative number of probable Ebola deaths,Nigeria,20150227,1.0
Cumulative number of suspected Ebola deaths,Nigeria,20150227,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,Nigeria,20150227,8.0
Cumulative number of confirmed Ebola deaths,Senegal,20150227,0.0
Cumulative number of probable Ebola deaths,Senegal,20150227,0.0
Cumulative number of suspected Ebola deaths,Senegal,20150227,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,Senegal,20150227,0.0
Cumulative number of confirmed Ebola deaths,Spain,20150227,0.0
Cumulative number of probable Ebola deaths,Spain,20150227,0.0
Cumulative number of suspected Ebola deaths,Spain,20150227,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,Spain,20150227,0.0
Cumulative number of confirmed Ebola deaths,United States of America,20150227,1.0
Cumulative number of probable Ebola deaths,United States of America,20150227,0.0
Cumulative number of suspected Ebola deaths,United States of America,20150227,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,United States of America,20150227,1.0
Cumulative number of confirmed Ebola cases,United Kingdom,20150226,1.0
Cumulative number of probable Ebola cases,United Kingdom,20150226,0.0
Cumulative number of suspected Ebola cases,United Kingdom,20150226,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,United Kingdom,20150226,0.0
Cumulative number of confirmed probable and suspected Ebola cases,Guinea,20150226,3175.0
Cumulative number of confirmed Ebola cases,Guinea,20150226,2781.0
Cumulative number of probable Ebola cases,Guinea,20150226,387.0
Cumulative number of suspected Ebola cases,Guinea,20150226,7.0
Cumulative number of confirmed probable and suspected Ebola deaths,Guinea,20150226,2101.0
Cumulative number of confirmed Ebola deaths,Guinea,20150226,1714.0
Cumulative number of probable Ebola deaths,Guinea,20150226,387.0
Cumulative number of confirmed probable and suspected Ebola cases,Liberia,20150226,9265.0
Cumulative number of confirmed Ebola cases,Liberia,20150226,3153.0
Cumulative number of probable Ebola cases,Liberia,20150226,1888.0
Cumulative number of suspected Ebola cases,Liberia,20150226,4224.0
Cumulative number of confirmed probable and suspected Ebola deaths,Liberia,20150226,4057.0
Cumulative number of confirmed probable and suspected Ebola cases,Sierra Leone,20150226,11341.0
Cumulative number of confirmed Ebola cases,Sierra Leone,20150226,8308.0
Cumulative number of probable Ebola cases,Sierra Leone,20150226,287.0
Cumulative number of suspected Ebola cases,Sierra Leone,20150226,2746.0
Cumulative number of confirmed probable and suspected Ebola deaths,Sierra Leone,20150226,3479.0
Cumulative number of confirmed Ebola deaths,Sierra Leone,20150226,3113.0
Cumulative number of probable Ebola deaths,Sierra Leone,20150226,208.0
Cumulative number of suspected Ebola deaths,Sierra Leone,20150226,158.0
Cumulative number of confirmed probable and suspected Ebola cases,United Kingdom,20150226,1.0
Cumulative number of confirmed Ebola cases,Mali,20150226,7.0
Cumulative number of probable Ebola cases,Mali,20150226,1.0
Cumulative number of suspected Ebola cases,Mali,20150226,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,Mali,20150226,6.0
Cumulative number of confirmed probable and suspected Ebola cases,Mali,20150226,8.0
Cumulative number of confirmed Ebola cases,Nigeria,20150226,19.0
Cumulative number of probable Ebola cases,Nigeria,20150226,1.0
Cumulative number of suspected Ebola cases,Nigeria,20150226,0.0
Cumulative number of confirmed probable and suspected Ebola cases,Nigeria,20150226,20.0
Cumulative number of confirmed Ebola cases,Senegal,20150226,1.0
Cumulative number of probable Ebola cases,Senegal,20150226,0.0
Cumulative number of suspected Ebola cases,Senegal,20150226,0.0
Cumulative number of confirmed probable and suspected Ebola cases,Senegal,20150226,1.0
Cumulative number of confirmed Ebola cases,Spain,20150226,1.0
Cumulative number of probable Ebola cases,Spain,20150226,0.0
Cumulative number of suspected Ebola cases,Spain,20150226,0.0
Cumulative number of confirmed probable and suspected Ebola cases,Spain,20150226,1.0
Cumulative number of confirmed Ebola cases,United States of America,20150226,4.0
Cumulative number of probable Ebola cases,United States of America,20150226,0.0
Cumulative number of suspected Ebola cases,United States of America,20150226,0.0
Cumulative number of confirmed probable and suspected Ebola cases,United States of America,20150226,4.0
Cumulative number of confirmed Ebola deaths,Nigeria,20150226,7.0
Cumulative number of probable Ebola deaths,Nigeria,20150226,1.0
Cumulative number of suspected Ebola deaths,Nigeria,20150226,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,Nigeria,20150226,8.0
